kepid,koi_disposition,koi_period,koi_prad,koi_teq,koi_score,koi_steff,koi_srad,koi_insol,stellar_class,is_planet,transit_ratio
11754553,CONFIRMED,7.8774163,2.16,553.0,1.0,4126.0,0.615,22.18,K,1,165.80309460095435
11754553,CONFIRMED,36.4454001,1.99,332.0,1.0,4126.0,0.615,2.88,K,1,30.794009584765128
11812062,CONFIRMED,3.728732147,6.02,1023.0,1.0,5497.0,0.809,258.34,G,1,1302.5070743972642
11818800,CANDIDATE,40.4195037,7.51,467.0,0.999,5446.0,0.781,11.29,G,0,120.15733879483533
11853255,CONFIRMED,2.243380573,1.99,822.0,1.0,4149.0,0.564,107.6,K,1,366.27757674711756
11909839,FALSE POSITIVE,10.405998015,11.23,833.0,0.0,5746.0,0.924,113.94,G,0,466.721211458928
11918099,CONFIRMED,2.337437946,2.34,1070.0,1.0,5005.0,0.765,311.16,K,1,415.4976613013366
11918099,CANDIDATE,7.2406612,19.45,734.0,0.993,5005.0,0.765,68.63,K,0,76.84381089395538
9579641,CANDIDATE,3.43591631,0.55,1272.0,0.871,5779.0,1.087,617.61,G,0,6.7522017147152225
11923270,CONFIRMED,11.59822233,2.65,396.0,1.0,3688.0,0.473,5.82,M,1,241.80429726250986
11960862,CONFIRMED,6.575315881,5.31,1015.0,1.0,5992.0,0.989,251.38,G,1,424.8160925730589
12020329,CONFIRMED,7.275040844,4.86,833.0,1.0,5485.0,0.867,113.64,G,1,412.5062751331544
12066335,CONFIRMED,19.27153892,1.93,393.0,1.0,4077.0,0.56,5.66,K,1,63.295412217137034
12066335,CONFIRMED,10.06524317,1.91,488.0,1.0,4077.0,0.56,13.43,K,1,104.64724817969797
12070811,CONFIRMED,12.3935651,2.66,677.0,1.0,5557.0,0.75,49.68,G,1,73.9577347280001
8395660,CONFIRMED,43.84439721,2.87,531.0,0.998,5854.0,1.012,18.77,G,1,14.031439343398835
3120431,FALSE POSITIVE,3.341913228,21.55,1032.0,0.0,5295.0,0.811,268.67,G,0,217.03136811665894
3246984,FALSE POSITIVE,1.626630225,32.43,1547.0,0.773,5735.0,0.973,1355.88,G,0,996.292811416313
3342970,CONFIRMED,2.711504086,3.12,1420.0,1.0,6214.0,1.076,960.79,F,1,308.8691639168712
3342970,CONFIRMED,7.21203748,3.32,1025.0,1.0,6214.0,1.076,260.58,F,1,131.77968121152915
12459725,FALSE POSITIVE,14.1798187,1.88,711.0,0.0,5799.0,0.878,60.35,G,0,32.43341891247171
12470844,CONFIRMED,8.47237911,2.59,751.0,1.0,5354.0,0.788,75.44,G,1,132.60738045514586
12470844,CONFIRMED,60.4189369,2.36,390.0,0.989,5354.0,0.788,5.49,G,1,15.414041487380093
12644822,CONFIRMED,12.611904345,7.4,753.0,1.0,5795.0,0.919,76.15,G,1,385.0885534130651
2440757,FALSE POSITIVE,1.433769925,46.58,1920.0,0.0,6017.0,1.339,3158.4199999999996,F,0,1378.3940962494382
2445129,FALSE POSITIVE,10.31872301,28.59,876.0,0.0,5927.0,1.06,139.26,G,0,84.47750745467486
2713049,CONFIRMED,2.539183147,2.06,1332.0,1.0,5519.0,1.062,743.09,G,1,150.4814650536116
3114167,CONFIRMED,6.770300385,2.77,812.0,1.0,5653.0,0.679,102.87,G,1,192.6059296998238
3114661,FALSE POSITIVE,0.444291966,27.51,1836.0,0.0,5255.0,0.636,2706.26,G,0,10931.325280817704
3115833,CANDIDATE,10.181584004,7.73,812.0,1.0,5988.0,0.836,102.91,G,0,477.0082924319013
4139816,CONFIRMED,20.06036336,1.96,361.0,1.0,3950.0,0.493,4.0,K,1,74.51011595235632
4139816,CONFIRMED,46.1842039,1.83,273.0,1.0,3950.0,0.493,1.32,K,1,30.198636811405557
8395660,CONFIRMED,23.9800854,1.31,649.0,0.952,5854.0,1.012,41.94,G,1,4.336932011092838
4139816,CONFIRMED,7.82502168,1.2,494.0,0.994,3950.0,0.493,14.05,K,1,66.55572614336833
4275191,CONFIRMED,3.895936525,7.34,1005.0,1.0,5557.0,0.774,241.62,G,1,1246.6065524514672
4476123,CONFIRMED,22.36646466,2.32,536.0,0.999,5395.0,0.734,19.45,G,1,44.11962350781279
