pl_name,hostname,discoverymethod,disc_year,disc_facility,pl_orbper,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,pl_insol,st_teff,st_rad,st_mass,st_logg,st_met,sy_dist,ra,dec,planet_type,habitable_zone,stellar_class,disc_decade,mass_radius_ratio
HD 141399 d,HD 141399,Radial Velocity,2014,Multiple Observatories,122.6058548,13.7,375.0394,823.0,0.8984999999999999,100.0,5600.0,1.387236,1.07,4.28,0.35,37.0169,236.7235392,46.986288,Gas Giant,0.0,G,2010.0,27.37513868613139
HD 141399 e,HD 141399,Radial Velocity,2014,Multiple Observatories,122.6058548,14.1,209.7678,823.0,0.8984999999999999,100.0,5600.0,1.387236,1.07,4.28,0.35,37.0169,236.7235392,46.986288,Gas Giant,0.0,G,2010.0,14.877148936170213
HD 141937 b,HD 141937,Radial Velocity,2002,La Silla Observatory,122.6058548,11.9,711.74876796,823.0,0.8984999999999999,100.0,5870.0,1.03,1.09,4.45,0.11,33.3622,238.0735585,-18.4359716,Gas Giant,0.0,G,2000.0,59.81082083697479
HD 142 A d,HD 142,Radial Velocity,2022,Multiple Observatories,108.45299,10.9,82.63538582,823.0,0.474,100.0,6245.0,1.47,1.21,4.62,0.09,26.1853,1.5836771,-49.0753625,Gas Giant,0.0,F,2020.0,7.581228056880733
HD 142 b,HD 142,Radial Velocity,2001,Anglo-Australian Telescope,122.6058548,12.7,711.74876796,823.0,0.8984999999999999,100.0,6245.0,1.47,1.21,4.62,0.09,26.1853,1.5836771,-49.0753625,Gas Giant,0.0,F,2000.0,56.04321007559056
HD 142 c,HD 142,Radial Velocity,2012,Anglo-Australian Telescope,122.6058548,12.4,711.74876796,823.0,0.8984999999999999,100.0,6245.0,1.47,1.21,4.62,0.09,26.1853,1.5836771,-49.0753625,Gas Giant,0.0,F,2010.0,57.39909419032258
HD 142022 A b,HD 142022 A,Radial Velocity,2005,La Silla Observatory,122.6058548,12.9,711.74876796,823.0,0.8984999999999999,100.0,5421.0,1.04,0.9,4.35,0.19,34.2802,242.5481731,-84.2317494,Gas Giant,0.0,G,2000.0,55.17432309767442
HD 142245 b,HD 142245,Radial Velocity,2011,W. M. Keck Observatory,122.6058548,13.1,711.74876796,823.0,0.8984999999999999,100.0,4922.0,2.9126400000000006,2.0180000000000002,3.65,0.17,97.2305,238.2342443,15.4306118,Gas Giant,0.0,K,2010.0,54.33196701984733
HD 142415 b,HD 142415,Radial Velocity,2003,La Silla Observatory,122.6058548,13.5,530.7761,823.0,0.8984999999999999,100.0,5940.0,1.04,1.07,4.44,0.13,35.5318,239.418989,-60.2006948,Gas Giant,0.0,G,2000.0,39.31674814814815
HD 143105 b,HD 143105,Radial Velocity,2016,Haute-Provence Observatory,2.1974,13.7,384.5743,823.0,0.0379,100.0,6380.0,1.647304,1.51,4.37,0.15,46.7789,238.4023547,68.7199779,Gas Giant,0.0,F,2010.0,28.07111678832117
HD 143361 b,HD 143361,Radial Velocity,2008,Las Campanas Observatory,122.6058548,12.9,711.74876796,823.0,0.8984999999999999,100.0,5507.0,0.916,0.968,4.472,0.14,68.5146,240.4588405,-44.4350575,Gas Giant,0.0,G,2000.0,55.17432309767442
HD 143811 AB b,HD 143811 A,Imaging,2025,Paranal Observatory,122.6058548,15.69257298,711.74876796,1042.0,0.8984999999999999,100.0,6791.0,1.68398,1.32,4.34,0.016687125907561565,136.608,240.8891972,-30.1371574,Gas Giant,0.0,F,2020.0,45.355772368694126
HD 144899 b,HD 144899,Radial Velocity,2022,Multiple Observatories,40.43914,4.77,20.34101805,823.0,0.242,100.0,6126.0,1.64802,1.16,4.0686,0.016687125907561565,115.665,242.5721002,-47.9146826,Gas Giant,0.0,F,2020.0,4.264364371069182
HD 145377 b,HD 145377,Radial Velocity,2008,La Silla Observatory,103.95,12.8,711.74876796,823.0,0.45,100.0,6014.0,1.05,1.2,4.47,0.11,53.4884,242.9019658,-27.0781199,Gas Giant,0.0,F,2000.0,55.605372496875
HD 145457 b,HD 145457,Radial Velocity,2010,Subaru Telescope,122.6058548,13.2,711.74876796,823.0,0.762,100.0,4757.0,2.9126400000000006,1.9,2.77,-0.14,135.292,242.5162215,26.7429068,Gas Giant,0.0,K,2010.0,53.92036120909091
